id,name,day,stage,genres
sunday--core--saidah,Saidah,sunday,CORE,Melodic Techno
sunday--crystal-garden--bhaskar,Bhaskar,sunday,CRYSTAL GARDEN,Tech House
sunday--crystal-garden--brina-knauss,Brina Knauss,sunday,CRYSTAL GARDEN,Melodic Techno
sunday--crystal-garden--franc-fala-b2b-benja,Franc Fala b2b Benja,sunday,CRYSTAL GARDEN,Techno
sunday--crystal-garden--kevin-de-vries-b2b-meduza,Kevin de Vries b2b Meduza,sunday,CRYSTAL GARDEN,Melodic Techno | Tech House
sunday--crystal-garden--like-mike,Like Mike,sunday,CRYSTAL GARDEN,Big Room / EDM
sunday--crystal-garden--mind-against,Mind Against,sunday,CRYSTAL GARDEN,Melodic Techno
sunday--elixir--dino,Dino,sunday,ELIXIR,Tech House
sunday--elixir--jael-ost-magik,Jaël Ost & MagiK,sunday,ELIXIR,Hardstyle
sunday--elixir--karakals,Karakals,sunday,ELIXIR,Melodic Techno
sunday--elixir--kav-verhouzer-de-hofnar-presents-eurodance,Kav Verhouzer & de Hofnar presents: Eurodance,sunday,ELIXIR,Big Room / EDM
sunday--elixir--lennert-wolfs,Lennert Wolfs,sunday,ELIXIR,Melodic Techno
sunday--elixir--michael-amani,Michael Amani,sunday,ELIXIR,Trap / Hip-Hop | Dance-Pop
sunday--elixir--michael-amani-friends,Michael Amani & Friends,sunday,ELIXIR,Melodic Techno
sunday--elixir--reeze,Reeze,sunday,ELIXIR,Melodic Techno
sunday--elixir--vikkstar,Vikkstar,sunday,ELIXIR,Dance-Pop | Big Room / EDM
sunday--freedom-by-bud--amelie-lens-presents-aura,Amelie Lens presents Aura,sunday,FREEDOM BY BUD,Techno | Hard Techno
sunday--freedom-by-bud--artbat,Artbat,sunday,FREEDOM BY BUD,Melodic Techno
sunday--freedom-by-bud--axel-haube,Axel Haube,sunday,FREEDOM BY BUD,Melodic Techno
sunday--freedom-by-bud--fideles,Fideles,sunday,FREEDOM BY BUD,Melodic Techno
sunday--freedom-by-bud--korolova,Korolova,sunday,FREEDOM BY BUD,Melodic Techno | Progressive House
sunday--freedom-by-bud--laura-hoogland,Laura Hoogland,sunday,FREEDOM BY BUD,Melodic Techno
sunday--freedom-by-bud--push-only,Push only,sunday,FREEDOM BY BUD,Tech House
sunday--house-of-fortune-by-jbl--bassjackers,Bassjackers,sunday,HOUSE OF FORTUNE BY JBL,Big Room / EDM
sunday--house-of-fortune-by-jbl--dj-f-r-a-n-k,DJ F.R.A.N.K,sunday,HOUSE OF FORTUNE BY JBL,Retro / Classics | Dance-Pop
sunday--house-of-fortune-by-jbl--dj-lex,DJ Lex,sunday,HOUSE OF FORTUNE BY JBL,Tech House
sunday--house-of-fortune-by-jbl--the-criminal-sounds,The Criminal Sounds,sunday,HOUSE OF FORTUNE BY JBL,Hardstyle
sunday--house-of-fortune-by-jbl--the-rocketman,The Rocketman,sunday,HOUSE OF FORTUNE BY JBL,Hardstyle
sunday--house-of-fortune-by-jbl--tigerlily,TIGERLILY,sunday,HOUSE OF FORTUNE BY JBL,Big Room / EDM | House
sunday--mainstage--afrojack-b2b-r3hab,Afrojack b2b R3hab,sunday,MAINSTAGE,Big Room / EDM | House
sunday--mainstage--chase-status-dj-set,Chase & Status (DJ set),sunday,MAINSTAGE,Drum & Bass | Dubstep / Bass
sunday--mainstage--cyril,Cyril,sunday,MAINSTAGE,Dance-Pop | Deep House
sunday--mainstage--lost-frequencies,Lost Frequencies,sunday,MAINSTAGE,Deep House | Dance-Pop
sunday--mainstage--lucas-steve,Lucas & Steve,sunday,MAINSTAGE,House | Progressive House
sunday--mainstage--martin-garrix,Martin Garrix,sunday,MAINSTAGE,Progressive House | Big Room / EDM
sunday--mainstage--mc-stretch,MC STRETCH,sunday,MAINSTAGE,Electronic
sunday--mainstage--odd-mob,Odd Mob,sunday,MAINSTAGE,Tech House
sunday--mainstage--sara-landry,Sara Landry,sunday,MAINSTAGE,Hard Techno
sunday--mainstage--steve-aoki,Steve Aoki,sunday,MAINSTAGE,Big Room / EDM | Trap / Hip-Hop
sunday--melodia-by-corona--alex-kennon,Alex Kennon,sunday,MELODIA BY CORONA,Tech House | House
sunday--melodia-by-corona--bobbi-antonni,Bobbi Antonni,sunday,MELODIA BY CORONA,Big Room / EDM
sunday--melodia-by-corona--cristiano-da-silva,Cristiano Da Silva,sunday,MELODIA BY CORONA,Melodic Techno
sunday--melodia-by-corona--delafino-luna-fino,Delafino & Luna Fino,sunday,MELODIA BY CORONA,Melodic Techno
sunday--melodia-by-corona--dominico,Dominico,sunday,MELODIA BY CORONA,Melodic Techno
sunday--melodia-by-corona--eli-rojas,Eli Rojas,sunday,MELODIA BY CORONA,Melodic Techno
sunday--melodia-by-corona--oriol-calvo,Oriol Calvo,sunday,MELODIA BY CORONA,Melodic Techno
sunday--melodia-by-corona--rayco-santos,Rayco Santos,sunday,MELODIA BY CORONA,Melodic Techno
sunday--melodia-by-corona--valentin-huedo,Valentín Huedo,sunday,MELODIA BY CORONA,Deep House
sunday--moose-bar--brian,Brian,sunday,MOOSE BAR,Hardstyle
sunday--moose-bar--jan-v,Jan V,sunday,MOOSE BAR,Melodic Techno
sunday--moose-bar--mr-e,Mr E.,sunday,MOOSE BAR,Melodic Techno
sunday--planaxis--anaya,ANAYA,sunday,PLANAXIS,Melodic Techno
sunday--planaxis--chuckie,Chuckie,sunday,PLANAXIS,House
sunday--planaxis--deorro,Deorro,sunday,PLANAXIS,House | Big Room / EDM
sunday--planaxis--laidback-luke,Laidback Luke,sunday,PLANAXIS,House
sunday--planaxis--okayval,Okayval,sunday,PLANAXIS,Melodic Techno
sunday--planaxis--olivex,Olivex,sunday,PLANAXIS,Melodic Techno
sunday--planaxis--quintino,Quintino,sunday,PLANAXIS,Big Room / EDM | House
sunday--planaxis--sick-individuals,Sick individuals,sunday,PLANAXIS,Progressive House | Big Room / EDM
sunday--planaxis--superheroes,Superheroes,sunday,PLANAXIS,Big Room / EDM
sunday--planaxis--thomas-gold,Thomas Gold,sunday,PLANAXIS,Progressive House | Big Room / EDM
sunday--planaxis--yves-v-b2b-stadiumx,Yves V b2b StadiumX,sunday,PLANAXIS,Progressive House | Big Room / EDM
sunday--the-great-library--bassjackers,Bassjackers,sunday,THE GREAT LIBRARY,Big Room / EDM
sunday--the-great-library--brennan-heart,Brennan Heart,sunday,THE GREAT LIBRARY,Hardstyle
sunday--the-great-library--darren-styles,Darren Styles,sunday,THE GREAT LIBRARY,Hardcore / Uptempo | Hardstyle
sunday--the-great-library--diego-miranda-b2b-jerry-davila,Diego Miranda b2b Jerry Davila,sunday,THE GREAT LIBRARY,Big Room / EDM | Psytrance
sunday--the-great-library--kaaze,Kaaze,sunday,THE GREAT LIBRARY,Progressive House | Big Room / EDM
sunday--the-great-library--lucca-van-damme,Lucca van Damme,sunday,THE GREAT LIBRARY,Hardstyle
sunday--the-great-library--nervo,NERVO,sunday,THE GREAT LIBRARY,Big Room / EDM | Progressive House
sunday--the-great-library--nico-moreno,Nico Moreno,sunday,THE GREAT LIBRARY,Hard Techno
sunday--the-great-library--paris-hilton,Paris Hilton,sunday,THE GREAT LIBRARY,Dance-Pop
sunday--the-rave-cave--benny-plays,Benny Plays,sunday,THE RAVE CAVE,Tech House
sunday--the-rave-cave--d-guaetta-b2b-neon,D. Guaetta b2b Neon,sunday,THE RAVE CAVE,House | Tech House
sunday--the-rave-cave--eme,EME,sunday,THE RAVE CAVE,Melodic Techno
sunday--the-rave-cave--hyalyte,Hyalyte,sunday,THE RAVE CAVE,Melodic Techno
sunday--the-rave-cave--kriss-reeve,Kriss Reeve,sunday,THE RAVE CAVE,Big Room / EDM
sunday--the-rave-cave--mr-rewind,Mr. Rewind,sunday,THE RAVE CAVE,Tech House
sunday--the-rave-cave--muze,Muze,sunday,THE RAVE CAVE,Melodic Techno
sunday--the-rose-garden--bassbrain,BassBrain,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--coone,Coone,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--d-charged-b2b-serzo,D-Charged b2b Serzo,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--da-tweekaz,Da Tweekaz,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--hard-driver,Hard Driver,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--lost-identity,Lost Identity,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--mark-with-a-k-mc-chucky,Mark With A K & MC Chucky,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--sound-rush,Sound Rush,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--the-purge,The Purge,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--the-straikerz,The Straikerz,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--villain,Villain,sunday,THE ROSE GARDEN,Hardstyle
sunday--the-rose-garden--warface,Warface,sunday,THE ROSE GARDEN,Hardstyle
